date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:39	16937/16937	---M-Z	200	added ('OK')	text/html	etag:%221dc9cec-4229-5ed3d15acfe00-gzip%22	https://themes.pixelstrap.com/fastkart/email-templete/abandonment-email.html	C:/My%20Web%20Sites/promo-fastcart-email-template/themes.pixelstrap.com/fastkart/email-templete/abandonment-email.html	(from )
09:39:39	31/31	---M--	200	added ('OK')	text/plain	etag:%221c5ed12-1f-573674df1a4fa%22	https://themes.pixelstrap.com/robots.txt		(from )
09:39:39	416/416	---M--	200	added ('OK')	image/png	etag:%221dc9d00-1a0-5e53c70092800%22	https://themes.pixelstrap.com/fastkart/email-templete/images/favicon.png	C:/My%20Web%20Sites/promo-fastcart-email-template/themes.pixelstrap.com/fastkart/email-templete/images/favicon.png	(from https://themes.pixelstrap.com/fastkart/email-templete/abandonment-email.html)
09:39:39	48073/48073	---M--	200	added ('OK')	image/svg+xml	etag:%221dc9d05-bbc9-5ed03401ed300%22	https://themes.pixelstrap.com/fastkart/email-templete/images/footer-left.svg	C:/My%20Web%20Sites/promo-fastcart-email-template/themes.pixelstrap.com/fastkart/email-templete/images/footer-left.svg	(from https://themes.pixelstrap.com/fastkart/email-templete/abandonment-email.html)
09:39:40	46702/46702	---M--	200	added ('OK')	image/svg+xml	etag:%221dc9d04-b66e-5ed03416e8480%22	https://themes.pixelstrap.com/fastkart/email-templete/images/footer-right.svg	C:/My%20Web%20Sites/promo-fastcart-email-template/themes.pixelstrap.com/fastkart/email-templete/images/footer-right.svg	(from https://themes.pixelstrap.com/fastkart/email-templete/abandonment-email.html)
09:39:40	2551/2551	---M--	200	added ('OK')	image/png	etag:%221dc9cfe-9f7-5ed012f7c9fc0%22	https://themes.pixelstrap.com/fastkart/email-templete/images/logo.png	C:/My%20Web%20Sites/promo-fastcart-email-template/themes.pixelstrap.com/fastkart/email-templete/images/logo.png	(from https://themes.pixelstrap.com/fastkart/email-templete/abandonment-email.html)
09:39:40	9599/9599	---M--	200	added ('OK')	image/png	etag:%221dc9d01-257f-5ed02aa1873c0%22	https://themes.pixelstrap.com/fastkart/email-templete/images/product-1.png	C:/My%20Web%20Sites/promo-fastcart-email-template/themes.pixelstrap.com/fastkart/email-templete/images/product-1.png	(from https://themes.pixelstrap.com/fastkart/email-templete/abandonment-email.html)
09:39:41	9513/9513	---M--	200	added ('OK')	image/png	etag:%221dc9d02-2529-5ed02aa463a80%22	https://themes.pixelstrap.com/fastkart/email-templete/images/product-2.png	C:/My%20Web%20Sites/promo-fastcart-email-template/themes.pixelstrap.com/fastkart/email-templete/images/product-2.png	(from https://themes.pixelstrap.com/fastkart/email-templete/abandonment-email.html)
09:39:41	4982/4982	---M--	200	added ('OK')	image/png	etag:%221dc9d03-1376-5ed02ab58e300%22	https://themes.pixelstrap.com/fastkart/email-templete/images/product-3.png	C:/My%20Web%20Sites/promo-fastcart-email-template/themes.pixelstrap.com/fastkart/email-templete/images/product-3.png	(from https://themes.pixelstrap.com/fastkart/email-templete/abandonment-email.html)
09:39:41	172220/172220	---M--	200	added ('OK')	image/png	etag:%221dc9cff-2a0bc-5ed0173cb3240%22	https://themes.pixelstrap.com/fastkart/email-templete/images/abandonment-poster.png	C:/My%20Web%20Sites/promo-fastcart-email-template/themes.pixelstrap.com/fastkart/email-templete/images/abandonment-poster.png	(from https://themes.pixelstrap.com/fastkart/email-templete/abandonment-email.html)
09:39:41	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Feb%202023%2004:09:41%20GMT	https://themes.pixelstrap.com/fastkart/email-templete/www.facebook.com	C:/My%20Web%20Sites/promo-fastcart-email-template/themes.pixelstrap.com/fastkart/email-templete/www.facebook.com	(from https://themes.pixelstrap.com/fastkart/email-templete/abandonment-email.html)
09:39:41	2431/2431	---M--	200	added ('OK')	image/png	etag:%221dc9cf8-97f-5e5c9bae04380%22	https://themes.pixelstrap.com/fastkart/email-templete/images/fb.png	C:/My%20Web%20Sites/promo-fastcart-email-template/themes.pixelstrap.com/fastkart/email-templete/images/fb.png	(from https://themes.pixelstrap.com/fastkart/email-templete/abandonment-email.html)
09:39:42	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Feb%202023%2004:09:42%20GMT	https://themes.pixelstrap.com/fastkart/email-templete/www.twitter.com	C:/My%20Web%20Sites/promo-fastcart-email-template/themes.pixelstrap.com/fastkart/email-templete/www.twitter.com	(from https://themes.pixelstrap.com/fastkart/email-templete/abandonment-email.html)
09:39:42	5139/5139	---M--	200	added ('OK')	image/png	etag:%221dc9cfc-1413-5e5c9bdf9b880%22	https://themes.pixelstrap.com/fastkart/email-templete/images/twitter.png	C:/My%20Web%20Sites/promo-fastcart-email-template/themes.pixelstrap.com/fastkart/email-templete/images/twitter.png	(from https://themes.pixelstrap.com/fastkart/email-templete/abandonment-email.html)
09:39:42	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Feb%202023%2004:09:42%20GMT	https://themes.pixelstrap.com/fastkart/email-templete/www.instagram.com	C:/My%20Web%20Sites/promo-fastcart-email-template/themes.pixelstrap.com/fastkart/email-templete/www.instagram.com	(from https://themes.pixelstrap.com/fastkart/email-templete/abandonment-email.html)
09:39:42	7126/7126	---M--	200	added ('OK')	image/png	etag:%221dc9cfa-1bd6-5e5c9bdf9b880%22	https://themes.pixelstrap.com/fastkart/email-templete/images/insta.png	C:/My%20Web%20Sites/promo-fastcart-email-template/themes.pixelstrap.com/fastkart/email-templete/images/insta.png	(from https://themes.pixelstrap.com/fastkart/email-templete/abandonment-email.html)
09:39:42	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Feb%202023%2004:09:43%20GMT	https://themes.pixelstrap.com/fastkart/email-templete/www.pinterest.com	C:/My%20Web%20Sites/promo-fastcart-email-template/themes.pixelstrap.com/fastkart/email-templete/www.pinterest.com	(from https://themes.pixelstrap.com/fastkart/email-templete/abandonment-email.html)
